Tucker Carlson, 7
JD Vance, 3
Lauren Boebert, 1
that summit, 1
Russian gas, 9
east Ukraine, 15
breakaway regions, 25
any Country, 1
Professor Isagholian, 1
what position, 1
the sovereignty, 18
all states, 1
Keystone pipeline, 1
foreign bribes, 2
a violation, 5
the agreements, 2
this game, 1
The context, 1
the invasion, 50
his nose, 1
his face, 3
a map, 15
HUNTER Biden, 1
the country, 52
a distraction, 15
our owner, 1
the implications, 2
Chelsea FC, 1
Also football, 1
All eyes, 4
the superpower, 3
Paul Manafort, 5
classified documents, 2
President Putin, 10
the Don, 1
The West, 20
a region, 5
the whole, 8
any leverage, 1
his way, 6
the way, 35
the Kremlin, 14
world war, 6
the US, 149
the DPRK, 1
their shit, 2
a statement, 12
another conflict, 1
diplomatic efforts, 2
Mr putin, 1
the USA, 28
the UK, 26
The cynicism, 1
Hong Kong, 7
Ukrainian Nazis, 6
a bid, 1
NATO expansion, 8
ethnic Russians, 5
deaf ears, 1
the bombing, 1
@mayawiley Trump, 1
US troops, 7
the mud, 1
Russian troops, 66
their boots, 1
eastern Ukraine, 157
- Business, 1
Sajid Javid, 8
their eyes, 2
the manager, 1
Boris Johnson, 21
@HuskerDude247 @jeremycorbyn, 1
some context, 2
world dominance, 1
This invasion, 2
the Ukrainians, 12
the phantom, 1
American imperialism, 2
the consequences, 4
his aggression, 2
diplomatic ties, 7
